event_index,event_title,event_date,related_companies,related_concepts,status,matched_by,matched_value,stock_code,stock_name,trade_date_used,turnover_rate,float_mv,reason
778,中紫星NEU芯片四季度流片,2026-04-25 09:49:17,中紫星,AI芯片|国产芯片|算力,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
779,伊朗生产逾千种武器装备,2026-04-25 09:40:55,中航沈飞|航天彩虹|洪都航空,军工|无人机|导弹产业链,ok,company,"中航沈飞,航天彩虹,洪都航空",600316,洪都航空,2026-04-17,2.1636,288.3518,
780,进出口银行一季度外贸贷款超3000亿,2026-04-25 09:34:13,,跨境电商|人工智能|绿电装备,ok,concept,"跨境电商,人工智能",002771,真视通,2026-04-17,44.1472,32.3201,
781,北京车展参展行为规范,2026-04-25 09:28:12,,汽车整车|新能源汽车|汽车零部件,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
782,美军拦截伊朗船只,2026-04-25 09:15:58,,军工|航运|石油,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
783,超聚变完成A股IPO辅导,2026-04-25 09:14:49,超聚变数字技术股份有限公司|中信证券,算力|服务器|信创,ok,concept,信创,002771,真视通,2026-04-17,44.1472,32.3201,
784,券商一季度重仓超70家公司,2026-04-25 08:36:56,,机械设备|医药生物|电力设备,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
785,伊朗掌控霍尔木兹海峡,2026-04-25 08:15:33,中国石油|中远海控|中国船舶,石油开采|航运|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
786,固收+基金规模突破3万亿,2026-04-25 08:12:51,,固收+|公募基金|险资配置,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
787,杠杆资金大幅融资净买入,2026-04-25 08:12:26,,融资融券|杠杆资金|市场流动性,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
788,特朗普起诉遭法院质疑,2026-04-25 07:52:22,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
789,养猪场排污整改后转运粪污,2026-04-25 07:36:34,,养猪|环保|农业,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
790,哥委达成边境合作,2026-04-25 07:25:14,,中委合作|边境安全|新能源,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
791,伊朗外长访巴不涉核谈,2026-04-25 07:16:48,,石油石化|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
792,美联储6月维持利率概率94.4%,2026-04-25 07:00:04,,美联储利率|美元指数|人民币汇率,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
793,电装撤回收购罗姆提案,2026-04-25 06:56:11,电装|罗姆,汽车芯片|功率半导体|汽车零部件,ok,concept,汽车芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
794,以军空袭加沙致12死,2026-04-25 06:45:49,,军工|石油|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
795,中东局势与科技股创新高,2026-04-25 06:32:38,,原油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
796,Burry买入半导体ETF看跌期权,2026-04-25 06:18:00,,半导体|芯片|ETF,ok,concept,芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
797,伊朗扣押两艘货船,2026-04-25 06:02:06,,航运|石油|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
798,巴西航空煤油涨价18%,2026-04-25 06:00:27,中国国航|南方航空|中国东航,航空运输|石油化工|燃油成本,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
799,富时A50夜盘小幅收涨,2026-04-25 05:18:04,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
800,伊朗保留大部分导弹能力,2026-04-25 05:03:51,中航沈飞|航天电器|中兵红箭,军工|导弹|地缘政治,ok,company,"中航沈飞,航天电器,中兵红箭",002025,航天电器,2026-04-17,8.4391,362.0078,
801,伊朗扣押疑似美军合作船只,2026-04-25 05:02:37,中国船舶|中远海控|中国石油,军工|石油|航运,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
802,贵金属期货价格波动,2026-04-25 05:02:08,,黄金概念|白银概念|贵金属,ok,concept,黄金概念,002132,恒星科技,2026-04-17,13.7756,63.5365,
803,美国银行存款增加,2026-04-25 04:17:27,,银行|存款|流动性,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
804,标普确认德国AAA评级,2026-04-25 04:15:50,,主权信用|欧洲经济|避险资产,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
805,伊朗外长暂无与美会谈日程,2026-04-25 04:13:02,,原油|军工|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
806,标普下调比利时评级,2026-04-25 04:04:20,,信用评级|欧洲主权债|避险资产,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
807,中概股指数收涨2.62%,2026-04-25 04:03:43,百度|阿里巴巴|小鹏汽车,中概股|互联网|科技,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
808,美股科技股大涨创新高,2026-04-25 04:01:32,英特尔|英伟达|AMD,半导体|AI芯片|存储芯片,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
809,美司法部停止调查美联储,2026-04-25 03:53:07,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
810,特朗普称伊朗拟提提议,2026-04-25 03:47:10,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
811,黄金白银净多头减少,2026-04-25 03:34:17,,黄金|白银|贵金属,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
812,AI初创公司融资1亿美元,2026-04-25 03:31:26,,AI大模型|人工智能|创投,ok,concept,人工智能,002771,真视通,2026-04-17,44.1472,32.3201,
813,WTI原油净多头增加,2026-04-25 03:31:02,,原油|期货|能源,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
814,伊朗外长率团访巴,2026-04-25 03:14:08,,一带一路|中巴经济走廊|地缘政治,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
815,恒指期货夜盘收涨,2026-04-25 03:01:14,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
816,卡塔尔埃米尔与特朗普通话,2026-04-25 02:59:48,,石油石化|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
817,美对伊朗实施金融制裁,2026-04-25 02:55:22,,石油石化|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
818,伊朗否认谈判团长辞职,2026-04-25 02:44:55,,石油石化|军工|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
819,原油期货价格波动,2026-04-25 02:32:45,中国石油|中国石化|中海油服,石油开采|油服|化工,ok,company,"中国石油,中国石化,中海油服",601808,中海油服,2026-04-17,0.5496,451.4714,
820,对冲基金Eminence关闭,2026-04-25 02:31:53,,金融监管|私募基金|市场情绪,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
821,原油期货夜盘收跌,2026-04-25 02:30:56,,原油|期货|大宗商品,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
822,OpenAI发布GPT-5.5,2026-04-25 02:27:08,科大讯飞|中科曙光|寒武纪,AI大模型|算力|AI应用,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
823,默茨提议乌克兰入盟衔接策略,2026-04-25 02:22:58,,一带一路|中欧贸易|地缘政治,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
824,伊朗最高领袖发表新年致辞,2026-04-25 02:16:04,,军工|石油|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
825,伊朗外长抵达巴基斯坦,2026-04-25 02:09:50,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
826,原油投机净多头减少,2026-04-25 02:04:08,中国石油|中国石化|中海油服,原油|期货|周期股,ok,company,"中国石油,中国石化,中海油服",601808,中海油服,2026-04-17,0.5496,451.4714,
827,美财长暗示或任美联储主席,2026-04-25 01:59:26,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
828,美军扩大F-35采购规模,2026-04-25 01:57:10,中航沈飞|中航西飞|航发动力,军工|航空装备|隐身战机,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
829,美财长称高层周会讨论AI模型,2026-04-25 01:55:58,,人工智能|大模型|算力,ok,concept,人工智能,002771,真视通,2026-04-17,44.1472,32.3201,
830,哥伦比亚总统访委内瑞拉,2026-04-25 01:41:07,,石油|拉美贸易|地缘政治,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
831,以方保留黎巴嫩行动自由,2026-04-25 01:37:52,,军工|地缘政治|石油,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
832,Intertek拒绝收购要约,2026-04-25 01:26:17,,检测认证|并购重组|外资并购,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
833,白宫调查美联储主席,2026-04-25 01:24:50,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
834,美伊谈判推进,2026-04-25 01:19:59,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
835,惠誉评美国银行业稳健,2026-04-25 01:19:07,,银行|金融|评级,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
836,美联储RRP使用规模极低,2026-04-25 01:17:09,,银行|流动性,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
837,伊朗恢复赴华航班,2026-04-25 01:09:37,中国国航|南方航空|中国中免,航空运输|旅游|一带一路,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
838,美国石油钻井数下降,2026-04-25 01:02:10,,石油开采|原油|能源,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
839,黑石KKR重组14亿美元贷款,2026-04-25 00:57:05,黑石集团|KKR集团|哈维斯特合伙企业,资产管理|私募股权|金融重组,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
840,LME金属期货收盘涨跌不一,2026-04-25 00:54:33,江西铜业|华友钴业|中国铝业,有色金属|铜|镍,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
841,美太空军天基拦截器合同授予,2026-04-25 00:53:35,洛克希德·马丁|SpaceX|通用动力,军工|导弹防御|太空军,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
842,X-Energy美股IPO首日大涨,2026-04-25 00:50:05,,核能核电|核电设备|次新股,ok,concept,次新股,301636,泽润新能,2026-04-17,29.6576,11.814,
843,伊朗外长三国行讨论终战,2026-04-25 00:31:56,,石油石化|军工|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
844,俄将反制欧盟新一轮制裁,2026-04-25 00:28:19,,能源安全|地缘政治|制裁概念,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
845,以总理称与特朗普就伊朗问题通话,2026-04-25 00:25:24,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
846,俄外长称与西方合作已成过往,2026-04-25 00:18:36,,军工|黄金|石油,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
847,以军打死6名真主党武装人员,2026-04-25 00:18:03,,军工|地缘政治|中东局势,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
848,美国延长船禁豁免90天,2026-04-25 00:17:34,,航运|能源|工业原材料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
849,美冻结伊朗关联加密货币,2026-04-25 00:16:49,,数字货币|区块链|制裁概念,ok,concept,"数字货币,区块链",000889,中嘉博创,2026-04-17,31.6898,46.015,
850,欧盟呼吁中东停火保航行自由,2026-04-25 00:13:03,,航运|石油|地缘政治,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
851,欧元区4月通胀料升至3%,2026-04-25 00:07:07,,通胀预期|欧洲经济|能源危机,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
852,日本H3火箭6月发射,2026-04-25 00:01:17,,航天军工|卫星互联网|火箭发射,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
853,阿塞拜疆首次抛售30亿美元黄金,2026-04-24 23:57:45,,黄金|贵金属|大宗商品,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
854,特朗普派特使赴巴与伊朗谈判,2026-04-24 23:56:52,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
855,谷歌拟巨资投资Anthropic,2026-04-24 23:50:48,谷歌|Anthropic|博通,AI算力|云计算|AI芯片,ok,company,"谷歌,Anthropic,博通",600455,博通股份,2026-04-17,2.3374,16.0017,
856,印度否认军机坠毁,2026-04-24 23:47:45,,军工|地缘政治,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
857,WTI原油期货大跌3%,2026-04-24 23:46:46,中国石油|中国石化|中国国航,石油开采|化工|航空运输,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
858,4月乘用车零售预计142万辆,2026-04-24 23:45:29,比亚迪|上汽集团|宁德时代,新能源汽车|汽车整车|汽车零部件,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
859,科威特边境遭无人机袭击,2026-04-24 23:37:10,中航无人机|航天彩虹|中国卫通,无人机|边境安全|地缘冲突,ok,company,"中航无人机,航天彩虹,中国卫通",002389,航天彩虹,2026-04-17,1.9402,220.1926,
860,尼日利亚原油出口量增加,2026-04-24 23:36:27,中国石油|中国石化|中海油服,原油|石油开采|大宗商品,ok,company,"中国石油,中国石化,中海油服",601808,中海油服,2026-04-17,0.5496,451.4714,
861,俄黑海港口火情,2026-04-24 23:33:23,,航运|石油|地缘风险,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
862,欧洲股市小幅收跌,2026-04-24 23:31:59,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
863,英特尔股份价值飙升300%,2026-04-24 23:30:05,英特尔(INTC.O),芯片制造|半导体|政府投资,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
864,法德推进下一代战机联合研制,2026-04-24 23:28:30,空中客车|达索飞机制造公司,军工|大飞机|欧洲防务,ok,concept,大飞机,002560,通达股份,2026-04-17,29.974,62.8675,
865,贝莱德看好半导体和硬件股,2026-04-24 23:17:56,,人工智能|半导体|算力,ok,concept,人工智能,002771,真视通,2026-04-17,44.1472,32.3201,
866,AI硬件股集体大涨,2026-04-24 23:14:04,英伟达|台积电|超威半导体,AI芯片|半导体设备|算力,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
867,中概股指数涨幅扩大,2026-04-24 23:12:53,日月光投控|台积电|万国数据,中概股|半导体|数据中心,ok,concept,数据中心,002771,真视通,2026-04-17,44.1472,32.3201,
868,化工品夜盘多数下跌,2026-04-24 23:08:53,,化工|黑色系|能源,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
869,伊外长访巴谈美伊谈判先决条件,2026-04-24 23:07:23,,石油石化|黄金|航运,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
870,AI芯片股助推纳指新高,2026-04-24 23:05:14,英伟达|台积电|超威半导体,AI芯片|半导体|算力,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
871,巴基斯坦购液化天然气,2026-04-24 23:02:41,,天然气|液化天然气|能源贸易,ok,concept,天然气,300164,通源石油,2026-04-17,12.8515,79.1417,
872,质肽生物递表港交所,2026-04-24 23:00:51,质肽生物|杰富瑞|华泰国际,创新药|生物医药|港股IPO,ok,concept,创新药,300858,科拓生物,2026-04-17,22.448,49.8159,
873,贝克休斯预计加大上游投资,2026-04-24 22:57:44,贝克休斯,油服|石油设备|上游勘探,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
874,箱箱智能递表港交所,2026-04-24 22:53:01,箱箱智能,智能物流|物联网|包装,ok,concept,物联网,002771,真视通,2026-04-17,44.1472,32.3201,
875,美考虑暂停西班牙北约资格,2026-04-24 22:50:48,,军工|地缘政治|北约,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
876,卡拉罗传动递表港交所,2026-04-24 22:48:50,卡拉罗(中国)传动系统股份有限公司|农银国际,传动系统|港股IPO|汽车零部件,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
877,英伟达市值突破5万亿美元,2026-04-24 22:45:06,英伟达,AI芯片|算力|半导体,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
878,望圆智能递表港交所,2026-04-24 22:43:03,天津望圆智能科技|中信建投国际,智能科技|港股IPO|机器人,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
879,美司法部撤销对美联储调查,2026-04-24 22:40:59,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
880,沃什获美联储主席提名,2026-04-24 22:40:30,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
881,伊朗外长出访三国磋商,2026-04-24 22:36:18,,石油石化|军工|一带一路,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
882,艾森股份拟募资5.24亿扩产,2026-04-24 22:35:20,艾森股份(688720.SH),集成电路材料|半导体设备|光刻胶,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
883,礼来口服减肥药开局遇冷,2026-04-24 22:33:25,礼来|诺和诺德,减肥药|创新药|GLP-1,ok,concept,"减肥药,创新药",603538,美诺华,2026-04-17,27.274,113.5226,
884,闪迪股价飙升创新高,2026-04-24 22:31:25,闪迪,存储芯片|半导体|消费电子,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
885,多家公司发布一季报,2026-04-24 22:27:21,贵州茅台|亨通光电|中信证券,白酒|新能源|金融,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
886,美消费者信心指数新低,2026-04-24 22:26:21,,消费|出口|石油,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
887,美军研究对伊朗新作战方案,2026-04-24 22:23:21,,军工|石油|航运,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
888,欧盟拟扩大红海护航行动,2026-04-24 22:22:05,中国船舶|中船防务|招商南油,军工|航运|地缘政治,ok,company,"中国船舶,中船防务,招商南油",601975,招商南油,2026-04-17,4.0586,202.1909,
889,美财长提及货币互换,2026-04-24 22:20:47,,人民币国际化|跨境支付|外汇,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
890,美财长谈货币互换与宽松,2026-04-24 22:18:30,,美元指数|人民币汇率|美联储降息,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
891,鲍威尔调查暂停,2026-04-24 22:16:09,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
892,美2年期国债收益率下跌,2026-04-24 22:12:36,,国债收益率|货币政策|利率敏感,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
893,诺和诺德股价上涨5.8%,2026-04-24 22:11:58,诺和诺德,减肥药|糖尿病|创新药,ok,concept,"减肥药,创新药",603538,美诺华,2026-04-17,27.274,113.5226,
894,宝洁50亿美元回购,2026-04-24 22:09:16,宝洁,日化消费|品牌消费品|美股回购,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
895,美司法部拟终止鲍威尔调查,2026-04-24 22:06:53,,美联储|货币政策|金融监管,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
896,土耳其对制造商出口商减税,2026-04-24 22:06:06,,减税|出口退税|制造业,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
897,小米SU7交付2.6万台,2026-04-24 22:05:27,小米集团,新能源汽车|小米汽车|智能驾驶,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
898,招商轮船拟38亿新建8艘集装箱船,2026-04-24 22:04:39,招商轮船(601872.SH)|招商局船舶工业集团有限公司,航运|集装箱|造船,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
899,取消对欧盟金融机构反制,2026-04-24 22:01:51,,中欧贸易|金融开放|一带一路,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
900,美消费者信心指数终值49.8,2026-04-24 22:00:22,,消费|宏观经济|出口,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
901,美国4月通胀预期低于初值,2026-04-24 22:00:19,,通胀预期|美联储政策|美元指数,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
902,伊朗与巴基斯坦会谈，暂不接触美国,2026-04-24 21:59:03,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
903,英20年期国债收益率创新高,2026-04-24 21:58:47,,国债收益率|全球利率|资金流向,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
904,招商轮船一季度净利润增219%,2026-04-24 21:58:33,招商轮船(601872.SH),油运|干散货航运|BDI指数,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
905,信科移动一季度亏损1.28亿,2026-04-24 21:54:36,信科移动(688387.SH),5G|通信设备|卫星互联网,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
906,美军封锁伊朗港口,2026-04-24 21:53:35,,航运|石油|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
907,中东战争推高欧盟能源成本,2026-04-24 21:52:24,,石油|天然气|能源安全,ok,concept,天然气,300164,通源石油,2026-04-17,12.8515,79.1417,
908,自然人刘鑫新进德龙汇能第三大股东,2026-04-24 21:51:32,德龙汇能(000593.SZ),天然气|公用事业|股东增持,ok,concept,天然气,300164,通源石油,2026-04-17,12.8515,79.1417,
909,亨通光电2025年净利润下降,2026-04-24 21:51:16,亨通光电(600487),光纤光缆|5G通信|光模块,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
910,国常会研究科技创新及海洋经济,2026-04-24 21:50:10,,科技创新|海洋经济|人工智能,ok,concept,"海洋经济,人工智能",002771,真视通,2026-04-17,44.1472,32.3201,
911,商业航天放量关键期,2026-04-24 21:49:30,,商业航天|卫星互联网|火箭制造,ok,concept,商业航天,002361,神剑股份,2026-04-17,42.8122,151.7105,
912,华特气体氦气价格波动风险提示,2026-04-24 21:48:15,华特气体(688268),氦气|特种气体|半导体材料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
913,派瑞股份Q1净利增2218%,2026-04-24 21:46:51,派瑞股份(300831.SZ),功率半导体|电力电子|特高压,ok,concept,特高压,002560,通达股份,2026-04-17,29.974,62.8675,
914,美克生能源递表港交所,2026-04-24 21:46:43,美克生能源|国泰海通,储能|锂电池|新能源,ok,concept,储能,301157,华塑科技,2026-04-17,41.1832,17.714,
915,美股存储概念股普涨,2026-04-24 21:45:03,,存储芯片|半导体|闪存,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
916,福建海警金门海域常态巡查,2026-04-24 21:44:31,中国海防|中船防务|亚光科技,军工|台海概念|海防装备,ok,company,"中国海防,中船防务,亚光科技",600685,中船防务,2026-04-17,1.8856,243.3913,
917,龙蟠科技2025年亏损1.73亿,2026-04-24 21:44:07,龙蟠科技(603906.SH),锂电池|新能源车|润滑油,ok,concept,新能源车,301603,乔锋智能,2026-04-17,33.2611,35.6572,
918,美银上调英特尔目标价,2026-04-24 21:43:46,英特尔,半导体|芯片设计|AI芯片,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
919,亨通光电一季度净利增98.53%,2026-04-24 21:43:37,亨通光电(600487.SH),光通信|光纤光缆|海洋通信,ok,concept,光通信,002902,铭普光磁,2026-04-17,29.9372,53.9647,
920,费城半导体指数18连涨,2026-04-24 21:42:17,英特尔|日月光半导体|台积电,半导体|芯片|集成电路,ok,concept,芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
921,中山公用年报净利润增56.77%,2026-04-24 21:41:59,中山公用(000685.SZ),公用事业|高股息|环保,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
922,明阳电路净利润暴增628%,2026-04-24 21:38:32,明阳电路(300739.SZ),PCB|印制电路板|高增长,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
923,中概股指数盘初上涨,2026-04-24 21:38:20,日月光投控|万国数据|再鼎医药,中概股|半导体|医药,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
924,自然人刘鑫新进国晟科技第三大股东,2026-04-24 21:38:16,国晟科技(603778.SH),光伏|园林工程|股东增持,ok,concept,光伏,920249,利尔达,2026-04-17,34.5014,14.2373,
925,棒杰股份被*ST并复牌,2026-04-24 21:38:07,棒杰股份(002634.SZ),ST板块|退市风险|预重整,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
926,美股SaaS板块反弹,2026-04-24 21:37:02,,SaaS|云计算|软件服务,ok,concept,云计算,000815,美利云,2026-04-17,25.645,150.1768,
927,印度发行短期国债,2026-04-24 21:36:08,,国债|货币政策|印度市场,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
928,美股光通信股上涨,2026-04-24 21:35:53,,光通信|5G|数据中心,ok,concept,"光通信,数据中心",002771,真视通,2026-04-17,44.1472,32.3201,
929,强瑞技术拟18亿建AI总部,2026-04-24 21:35:09,强瑞技术(301128.SZ),AI服务器液冷|半导体设备|工业机器人,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
930,广钢气体一季度净利润增63%,2026-04-24 21:34:35,广钢气体(688548.SH),电子大宗气体|半导体材料|工业气体,ok,concept,工业气体,688146,中船特气,2026-04-17,11.1787,93.2307,
931,英特尔营收展望超预期,2026-04-24 21:34:21,英特尔,芯片设计|半导体|AI算力,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
932,费城半导体指数大涨,2026-04-24 21:32:39,,半导体|芯片|费城半导体指数,ok,concept,芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
933,深南电路一季度业绩大增,2026-04-24 21:31:46,深南电路(002916.SZ),AI算力|高速交换机|光模块,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
934,英特尔业绩超预期大涨,2026-04-24 21:30:44,英特尔|AMD|英伟达,半导体|AI芯片|算力,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
935,明阳电路调整回购价格上限,2026-04-24 21:30:39,明阳电路(300739.SZ),PCB概念|印制电路板|回购增持,ok,concept,PCB概念,301603,乔锋智能,2026-04-17,33.2611,35.6572,
936,全球石油供应中断扩大,2026-04-24 21:28:46,中国石油|中国石化|中海油服,石油开采|油气设服|石化,ok,company,"中国石油,中国石化,中海油服",601808,中海油服,2026-04-17,0.5496,451.4714,
